Team Name,Team City,Competition Level,Gender Division,lat,lon
Bombshells,Albuquerque,College,Women,35.0841034,-106.6509851
HantaVirus,Albuquerque,College,Men,35.0841034,-106.6509851
Lakers,Allendale,College,Men,42.9903205,-85.9529685
Muhlenberg Ultimate,Allentown,College,Men,40.6022059,-75.4712794
Sul Ross Ultimate,Alpine,College,Men,38.5893934,-119.8345013
Mighty Hucks of Toon Town,Altoona,College,Men,40.518681,-78.394736
Iowa State People,Ames,College,Mixed,42.0267703,-93.6170554
Iowa State-B (Yogurt Wagon),Ames,College,Men,42.0267703,-93.6170554
ISUC,Ames,College,Men,42.0267703,-93.6170554
Woman Scorned,Ames,College,Women,42.0267703,-93.6170554
Army of Darkness,Amherst,College,Men,42.3685658,-72.505714
Bubba Ho-Tep,Amherst,College,Men,42.3685658,-72.505714
Darko,Amherst,College,Women,42.3685658,-72.505714
Sparkle Motion,Amherst,College,Women,42.3685658,-72.505714
Sparkle of Darkness,Amherst,College,Mixed,42.3685658,-72.505714
Lady Zoo,Amherst,College,Women,42.3685658,-72.505714
Umass Amherst Developmental,Amherst,College,Men,42.3685658,-72.505714
Zoodisc,Amherst,College,Men,42.3685658,-72.505714
Zoodisc B,Amherst,College,Men,42.3685658,-72.505714
Zoom,Amherst,College,Mixed,42.3685658,-72.505714
Buffalo Fall League 2017 (4),Amherst,College,Mixed,42.3685658,-72.505714
Thunder Ultimate,Angola,College,Men,41.634874,-84.99928
BFLY,Ann Arbor,College,Women,42.2681569,-83.7312291
Flywheel,Ann Arbor,College,Women,42.2681569,-83.7312291
MagnUM,Ann Arbor,College,Men,42.2681569,-83.7312291
Michigan-B,Ann Arbor,College,Men,42.2681569,-83.7312291
BomBardment,Annandale-on-Hudson,College,Mixed,42.0128695,-73.9081901
BomBardment ,Annandale-on-Hudson,College,Men,42.0128695,-73.9081901
Poseidon,Annapolis,College,Men,38.9786401,-76.492786
Lawrence University Men's Ultimate,Appleton,College,Men,44.2611337,-88.4067604
Soft in the Vici,Appleton,College,Mixed,44.2611337,-88.4067604
VICI,Appleton,College,Women,44.2611337,-88.4067604
Hags,Arcata,College,Women,40.866517,-124.08284
Humboldt State Buds,Arcata,College,Men,40.866517,-124.08284
Yucca,Arlington,College,Men,32.701939,-97.1056238
YLee Coyotes,Arlington,College,Women,32.701939,-97.1056238
Hellbenders,Asheville,College,Women,35.6009498,-82.5540161
UNC Asheville Bulldogs,Asheville,College,Men,35.6009498,-82.5540161
Chillydawgs,Athens,College,Men,33.9597677,-83.376398
Dawgma,Athens,College,Women,33.9597677,-83.376398
Jojah,Athens,College,Men,33.9597677,-83.376398
Ohio University,Athens,College,Men,33.9597677,-83.376398
Stacked,Athens,College,Women,33.9597677,-83.376398
Emory B,Atlanta,College,Women,33.7489924,-84.3902644
Emory Juice,Atlanta,College,Men,33.7489924,-84.3902644
Emory Rookies,Atlanta,College,Men,33.7489924,-84.3902644
Luna,Atlanta,College,Women,33.7489924,-84.3902644
Underground,Atlanta,College,Men,33.7489924,-84.3902644
Vixen,Atlanta,College,Women,33.7489924,-84.3902644
Georgia Tech,Atlanta,College,Women,33.7489924,-84.3902644
Tribe,Atlanta,College,Men,33.7489924,-84.3902644
Tribe,Atlanta,College,Men,33.7489924,-84.3902644
Wreck,Atlanta,College,Women,33.7489924,-84.3902644
Aetos,Auburn,College,Men,32.6098566,-85.4807825
Ares,Auburn,College,Women,32.6098566,-85.4807825
Mayhem,Austin,College,Women,30.2711286,-97.7436995
Melee,Austin,College,Women,30.2711286,-97.7436995
Teleeuffm,Austin,College,Mixed,30.2711286,-97.7436995
Texas B,Austin,College,Men,30.2711286,-97.7436995
Texas C,Austin,College,Men,30.2711286,-97.7436995
TUFF,Austin,College,Men,30.2711286,-97.7436995
All You Can Eat,Baltimore,College,Women,39.2908816,-76.610759
Guilty Swallows,Baltimore,College,Men,39.2908816,-76.610759
Blue Footed Boobies ,Baltimore,College,Women,39.2908816,-76.610759
Dangerzone,Baltimore,College,Men,39.2908816,-76.610759
Friendzone,Baltimore,College,Men,39.2908816,-76.610759
Booya,Baltimore,College,Men,39.2908816,-76.610759
Shazam!,Baltimore,College,Women,39.2908816,-76.610759
Tembo,Baltimore,College,Men,39.2908816,-76.610759
LSU Ultimate,Baton Rouge,College,Men,30.4459596,-91.18738
LSU Women's Ultimate,Baton Rouge,College,Women,30.4459596,-91.18738
LSU-B,Baton Rouge,College,Men,30.4459596,-91.18738
Mixed Signals leading to being Friend Zoned,Baton Rouge,College,Mixed,30.4459596,-91.18738
LU Dark Matter,Beaumont,College,Men,30.0860459,-94.1018461
Chaos,Bellingham,College,Women,48.7544012,-122.4788361
Dirt,Bellingham,College,Men,48.7544012,-122.4788361
MUD,Bellingham,College,Men,48.7544012,-122.4788361
Nyx,Bellingham,College,Women,48.7544012,-122.4788361
California-Berkeley,Berkeley,College,Men,37.8708393,-122.2728639
Pie Queens,Berkeley,College,Women,37.8708393,-122.2728639
Tarts,Berkeley,College,Women,37.8708393,-122.2728639
Thugmo,Berkeley,College,Men,37.8708393,-122.2728639
Gravity,Bethlehem,College,Women,40.6178915,-75.3786521
Lehigh ,Bethlehem,College,Men,40.6178915,-75.3786521
Lehigh-B,Bethlehem,College,Men,40.6178915,-75.3786521
SUNY-Binghamton,Binghamton,College,Men,42.0987125,-75.9125262
SUNY-Binghamton B,Binghamton,College,Men,42.0987125,-75.9125262
Big Bear ,Binghamton ,College,Women,42.0987125,-75.9125262
Ember,Birmingham,College,Women,33.5206824,-86.8024326
Inferno,Birmingham,College,Men,33.5206824,-86.8024326
Dogma,Birmingham,College,Men,33.5206824,-86.8024326
Burn,Blacksburg,College,Men,37.2296566,-80.4136767
Burnettes,Blacksburg,College,Women,37.2296566,-80.4136767
Virginia Tech B,Blacksburg,College,Men,37.2296566,-80.4136767
Calamity Jane,Bloomington,College,Women,39.1670396,-86.5342881
HoosierDaddy!s,Bloomington,College,Men,39.1670396,-86.5342881
HoosierMama?s,Bloomington,College,Men,39.1670396,-86.5342881
Catalyst,Boca Raton,College,Men,26.3586885,-80.0830984
Buffalo Gals,Boise,College,Women,43.6166163,-116.200886
Mamu Zaldi,Boise,College,Men,43.6166163,-116.200886
Mamuffalo,Boise,College,Mixed,43.6166163,-116.200886
Nomads,Boone,College,Men,42.321246,-88.8235511
Nonads,Boone,College,Women,42.321246,-88.8235511
GottaGoFast,Boston,College,Men,42.3602534,-71.0582912
Boston University,Boston,College,Men,42.3602534,-71.0582912
Boston University ,Boston,College,Men,42.3602534,-71.0582912
Mixed Signals,Boston,College,Mixed,42.3602534,-71.0582912
Ozone Pilots,Boston,College,Women,42.3602534,-71.0582912
Skunks,Boston,College,Men,42.3602534,-71.0582912
Beastern,Boston,College,Men,42.3602534,-71.0582912
Huskies,Boston,College,Men,42.3602534,-71.0582912
Valkyries,Boston,College,Women,42.3602534,-71.0582912
Valkyries A,Boston,College,Women,42.3602534,-71.0582912
Concrete Jungle,Boston,College,Men,42.3602534,-71.0582912
BUDA,Boston,College,Women,42.3602534,-71.0582912
Husky Valks,"Boston, MA, 02120",College,Mixed,42.3602534,-71.0582912
Salty Sea Dogs,"Boston, MA, 02120",College,Mixed,42.3602534,-71.0582912
Devi,Boulder,College,Women,40.0149856,-105.2705456
Kali,Boulder,College,Women,40.0149856,-105.2705456
Mamabird,Boulder,College,Men,40.0149856,-105.2705456
Mamabird - B,Boulder,College,Men,40.0149856,-105.2705456
Black Penguins,Bourbonnais,College,Men,41.1639309,-87.8839693
Lady Penguins,Bourbonnais,College,Women,41.1639309,-87.8839693
Black Penguins Alumni,Bourbonnais,College,Men,41.1639309,-87.8839693
Penguins,Bowling Green,College,Men,36.9903199,-86.4436018
Booty Chest,Bozeman,College,Women,45.6794293,-111.044047
Rum Runners,Bozeman,College,Men,45.6794293,-111.044047
MSU X,Bozeman,College,Men,45.6794293,-111.044047
MSU Y,Bozeman,College,Men,45.6794293,-111.044047
Rhody Fresh,Bristol,College,Men,36.5959685,-82.1885009
Flying Dogs,Brockport,College,Men,43.213671,-77.93918
Fordham Ultimate,Bronx,College,Men,40.8466508,-73.8785937
Fordham Ultimate,Bronx,College,Women,40.8466508,-73.8785937
Chaos Theory,Brunswick,College,Women,43.9145244,-69.9653278
Claos,Brunswick,College,Mixed,43.9145244,-69.9653278
Clown,Brunswick,College,Men,43.9145244,-69.9653278
Wolf Pack,Buffalo,College,Men,42.8867166,-78.8783922
Green Eggs and Ham,Buffalo,College,Men,42.8867166,-78.8783922
Grinch,Buffalo,College,Men,42.8867166,-78.8783922
The Lorax,Buffalo,College,Women,42.8867166,-78.8783922
Buffalo Fall League 2017 (1),Buffalo,College,Mixed,42.8867166,-78.8783922
Buffalo Fall League 2017 (2),Buffalo,College,Mixed,42.8867166,-78.8783922
Buffalo Fall League 2017 (3),Buffalo,College,Mixed,42.8867166,-78.8783922
Chill,Burlington,College,Men,44.4761601,-73.212906
Chill,Burlington,College,Men,44.4761601,-73.212906
Vermont B,Burlington,College,Women,44.4761601,-73.212906
Ruckus,Burlington ,College,Women,44.4761601,-73.212906
Nerve Pinch,California,College,Men,36.7014631,-118.755997
BRed Line,Cambridge,College,Men,42.3750997,-71.1056157
Harvard,Cambridge,College,Women,42.3750997,-71.1056157
Quasar,Cambridge,College,Women,42.3750997,-71.1056157
Red Line,Cambridge,College,Men,42.3750997,-71.1056157
RedZar,Cambridge,College,Mixed,42.3750997,-71.1056157
Grim Beaver,Cambridge,College,Men,42.3750997,-71.1056157
sMITe,Cambridge,College,Women,42.3750997,-71.1056157
Woodbyters,Cambridge,College,Mixed,42.3750997,-71.1056157
Woodmunchers,Cambridge,College,Men,42.3750997,-71.1056157
Ruckus Bus,Canton,College,Men,32.555664,-95.8640507
Ruckus Bus (Mixed),Canton,College,Mixed,32.555664,-95.8640507
Jive Turkeys,Carlisle,College,Women,40.201499,-77.1890783
Jive Turkeys,Carlisle,College,Men,40.201499,-77.1890783
AmmUNItion,Cedar Falls,College,Men,42.5274123,-92.4453179
Kohucks,Cedar Rapids,College,Men,41.9758872,-91.6704053
Swarm,Cedarville,College,Men,42.3759906,-89.6331674
Boomland,Champaign,College,Men,40.1164205,-88.2433829
Illinois Ultimate,Champaign,College,Men,40.1164205,-88.2433829
Illinois-B,Champaign,College,Men,40.1164205,-88.2433829
Illinois,Champaign,College,Women,40.1164205,-88.2433829
Pleiades X,Chapel Hill,College,Women,35.9131542,-79.05578
Pleiades Y,Chapel Hill,College,Women,35.9131542,-79.05578
BatCH,Chapel Hill,College,Men,35.9131542,-79.05578
Darkside,Chapel Hill,College,Men,35.9131542,-79.05578
Electra,Chapel Hill,College,Women,35.9131542,-79.05578
Pleiades,Chapel Hill,College,Women,35.9131542,-79.05578
Space Jam,Chapel Hill,College,Mixed,35.9131542,-79.05578
Charleston Hobos,Charleston,College,Women,32.7876012,-79.9402728
Palmetto Bums,Charleston,College,Men,32.7876012,-79.9402728
Reaper,Charleston,College,Men,32.7876012,-79.9402728
Reaper Alum,Charleston,College,Men,32.7876012,-79.9402728
QCG,Charlotte,College,Men,35.2272086,-80.8430827
Hydra,Charlottesville,College,Women,38.029306,-78.4766781
Night Train,Charlottesville,College,Men,38.029306,-78.4766781
Virginia,Charlottesville,College,Women,38.029306,-78.4766781
Virginia-B,Charlottesville,College,Men,38.029306,-78.4766781
Moxie,Chattanooga,College,Women,35.0457219,-85.3094883
Swamp Donkeys,Chattanooga,College,Men,35.0457219,-85.3094883
Boston College,Chestnut Hill,College,Women,42.3306529,-71.1661647
Boston College Eagles B,Chestnut Hill,College,Men,42.3306529,-71.1661647
Eagles,Chestnut Hill,College,Men,42.3306529,-71.1661647
Boston College B,Chestnut Hill,College,Women,42.3306529,-71.1661647
Hedonism Bots,Chicago,College,Men,41.8755616,-87.6244212
Junk,Chicago,College,Men,41.8755616,-87.6244212
Supersnatch,Chicago,College,Women,41.8755616,-87.6244212
DUC,Chicago,College,Men,41.8755616,-87.6244212
Laser Chains,Chicago,College,Women,41.8755616,-87.6244212
Funk,Chicago,College,Men,41.8755616,-87.6244212
Darkwing,Chicago,College,Men,41.8755616,-87.6244212
Sirens,Chicago,College,Women,41.8755616,-87.6244212
Allihopa,Chicago,College,Women,41.8755616,-87.6244212
Lost Boys,Chicago,College,Men,41.8755616,-87.6244212
Chico State Wildcats,Chico,College,Men,39.7284945,-121.8374777
Chico Chicas,Chico,College,Women,39.7284945,-121.8374777
Cincinnati,Cincinnati,College,Men,39.1014537,-84.5124602
Cincinnati B,Cincinnati,College,Men,39.1014537,-84.5124602
Toxic,Cincinnati,College,Women,39.1014537,-84.5124602
B.L.O.B.,Cincinnati,College,Men,39.1014537,-84.5124602
Ignition,Cincinnati,College,Women,39.1014537,-84.5124602
Claremont Greenshirts,Claremont,College,Women,34.0966764,-117.7197785
Braineaters,Claremont ,College,Men,34.0966764,-117.7197785
Biefs,Clemson,College,Men,34.6850749,-82.8364111
Joint Chiefs of Waft,Clemson,College,Men,34.6850749,-82.8364111
Tiger Alumni,Clemson,College,Women,34.6850749,-82.8364111
Tigerlilies,Clemson,College,Women,34.6850749,-82.8364111
Fighting Gobies,Cleveland,College,Men,41.5051613,-81.6934446
Fighting Gobies,Cleveland,College,Women,41.5051613,-81.6934446
Fighting Gobies,Cleveland,College,Men,41.5051613,-81.6934446
Fighting Gobies[A],Cleveland,College,Men,41.5051613,-81.6934446
Burning River Vikings,Cleveland,College,Men,41.5051613,-81.6934446
Valkyries,Cleveland,College,Women,41.5051613,-81.6934446
Thor Ultimate,Cleveland,College,Men,41.5051613,-81.6934446
Hot Saucers,Clinton,College,Mixed,38.5896187,-89.420064
Hot Saucers,Clinton,College,Men,38.5896187,-89.420064
Hot Saucers,Clinton,College,Women,38.5896187,-89.420064
Cosmic Ultimate,College Park,College,Women,38.980666,-76.9369189
Helpful Corn,College Park,College,Women,38.980666,-76.9369189
Maryland Ultimate,College Park,College,Men,38.980666,-76.9369189
Solar Flair,College Park,College,Men,38.980666,-76.9369189
Dozen,College Station,College,Men,30.5955289,-96.3071042
Dozen Exist,College Station,College,Men,30.5955289,-96.3071042
Dozen Matter,College Station,College,Men,30.5955289,-96.3071042
Stacked,College Station,College,Women,30.5955289,-96.3071042
Stacked and the Boys,College Station,College,Mixed,30.5955289,-96.3071042
Saint John's Ultimate,Collegeville,College,Men,40.1856597,-75.451571
Trainwreck,Collegeville,College,Men,40.1856597,-75.451571
Lysistrata's Tools,Colorado Springs,College,Women,38.8339578,-104.8253485
Wasabi,Colorado Springs,College,Men,38.8339578,-104.8253485
Wastrabi,Colorado Springs,College,Mixed,38.8339578,-104.8253485
Syndicate,Colorado Springs,College,Men,38.8339578,-104.8253485
Missouri,Columbia,College,Men,34.0007493,-81.0343313
TerrorMizzou,Columbia,College,Women,34.0007493,-81.0343313
SCORCH,Columbia,College,Women,34.0007493,-81.0343313
South Carolina,Columbia,College,Men,34.0007493,-81.0343313
Warbird,Columbia,College,Men,34.0007493,-81.0343313
Native,Columbus,College,Men,39.9622601,-83.0007065
Big Buckin' Chicken,Columbus,College,Men,39.9622601,-83.0007065
Fever,Columbus,College,Women,39.9622601,-83.0007065
Fever-B,Columbus,College,Women,39.9622601,-83.0007065
Leadbelly,Columbus,College,Men,39.9622601,-83.0007065
Southern Tropical Depressions,Coral Gables,College,Women,25.72149,-80.2683838
UMiami Cartel,Coral Gables,College,Men,25.72149,-80.2683838
SUNY Cortland,Cortland,College,Women,42.6011813,-76.1804843
Team Rocket,Cortland,College,Men,42.6011813,-76.1804843
Beavers,Corvallis,College,Men,44.5645659,-123.2620435
Oregon State B,Corvallis,College,Men,44.5645659,-123.2620435
Dinos,Corvallis,College,Women,44.5645659,-123.2620435
Western Front,Cullowhee,College,Men,35.3137739,-83.1765814
Nighthawks,Dahlonega,College,Men,34.5328484,-83.9845723
Aurea Ultimate,Dahlonega ,College,Women,34.5328484,-83.9845723
EVO,Dallas,College,Men,32.7762719,-96.7968559
DUFF,Davidson,College,Men,35.4992614,-80.8485218
DUFF Women,Davidson,College,Women,35.4992614,-80.8485218
Davis Dogs,Davis,College,Men,40.7474784,-92.3965311
Davis Dogs B,Davis,College,Men,40.7474784,-92.3965311
Rogue,Davis,College,Women,40.7474784,-92.3965311
UC Davis -B,Davis,College,Women,40.7474784,-92.3965311
Kraken,Dayton,College,Women,39.7589478,-84.1916069
UD Ultimate,Dayton,College,Men,39.7589478,-84.1916069
Airstrike,Dayton,College,Men,39.7589478,-84.1916069
Dirty Birds,Daytona Beach,College,Men,29.2108147,-81.0228331
Freya,Decorah,College,Women,43.3041609,-91.7859098
Lufda,Decorah,College,Men,43.3041609,-91.7859098
Pound,Decorah,College,Men,43.3041609,-91.7859098
Wolfpack Ultimate,Dekalb,College,Men,41.8903447,-88.7713953
Firedogs,Delaware,College,Men,38.6920451,-75.4013315
Yetis,Delaware,College,Women,38.6920451,-75.4013315
Envy,Denton,College,Women,33.1838787,-97.1413417
UNT illeagles,Denton,College,Men,33.1838787,-97.1413417
UNT X,Denton,College,Men,33.1838787,-97.1413417
Frostbite,Denver,College,Men,39.7392364,-104.9848623
Hype ,Denver,College,Women,39.7392364,-104.9848623
Sourdough,Denver,College,Men,39.7392364,-104.9848623
Frostbite,Denver,College,Mixed,39.7392364,-104.9848623
AYU Indoor Hat Dec. 2017,Denver,College,Mixed,39.7392364,-104.9848623
DUC,Des Moines,College,Men,41.5910323,-93.6046655
iBex,Des Moines,College,Women,41.5910323,-93.6046655
LakEffect,Duluth,College,Women,46.7729322,-92.1251218
Northern Lights,Duluth,College,Men,46.7729322,-92.1251218
Brimstone,Durham,College,Men,35.996653,-78.9018053
Swerve,Durham,College,Women,35.996653,-78.9018053
New Hampshire Ultimate Team,Durham,College,Men,35.996653,-78.9018053
Oriza Ultimate,Durham,College,Women,35.996653,-78.9018053
Ur Not Harold?,Durham,College,Mixed,35.996653,-78.9018053
ARC,East Lansing,College,Men,42.7355416,-84.4852469
Infamous,East Lansing,College,Women,42.7355416,-84.4852469
Riot Control,East Lansing,College,Men,42.7355416,-84.4852469
Stonehill College Men's Ultimate,Easton,College,Men,40.6916081,-75.2099866
Stonehill College Women's Ultimate,Easton,College,Women,40.6916081,-75.2099866
EauZone,Eau Claire,College,Men,44.811349,-91.4984941
SOL,Eau Claire,College,Women,44.811349,-91.4984941
Haggis,Edinboro,College,Men,41.8742225,-80.1317236
Shaggus ,Edinboro,College,Women,41.8742225,-80.1317236
Wind Machine,Ellensburg,College,Men,46.9970635,-120.5451223
DISCiples,ellisville,College,Men,38.5946373,-90.584838
Elon,Elon,College,Men,36.1029132,-79.5066895
Wild Rumpus,Elon,College,Women,36.1029132,-79.5066895
Ego,Eugene,College,Men,44.0505054,-123.0950506
Fugue,Eugene,College,Women,44.0505054,-123.0950506
ID,Eugene,College,Men,44.0505054,-123.0950506
Bolt,Evanston,College,Men,42.0447388,-87.6930459
GungHo,Evanston,College,Women,42.0447388,-87.6930459
GungHo B ,Evanston,College,Women,42.0447388,-87.6930459
NUT,Evanston,College,Men,42.0447388,-87.6930459
NUTHOS,Evanston,College,Mixed,42.0447388,-87.6930459
Fusion,Evansville,College,Men,37.9747645,-87.5558483
Anomaly,Evasnville,College,Women,39.76,-98.5
Anarchy,Ewing,College,Women,38.0886603,-88.852287
Revolution,Ewing,College,Men,38.0886603,-88.852287
Extinction,Fairfax,College,Women,38.8462236,-77.3063733
Mason Meltdown,Fairfax,College,Men,38.8462236,-77.3063733
Massacre,Fairfax,College,Men,38.8462236,-77.3063733
Fairfield Spartans,Fairfield,College,Men,38.2493581,-122.039966
Windbreak Ultimate Club,Fargo,College,Men,46.877229,-96.789821
Beavers ,Farmington,College,Men,44.6402434,-93.1435497
Ludicrous Comfort,Fayetteville,College,Mixed,36.0625843,-94.1574328
Ludicrous Speed ,Fayetteville,College,Men,36.0625843,-94.1574328
SoCo,Fayetteville,College,Women,36.0625843,-94.1574328
Speed Bump,Fayetteville,College,Men,36.0625843,-94.1574328
El Ponderoso,Flagstaff,College,Men,35.1987522,-111.6518229
Jines in the Pines,Flagstaff,College,Women,35.1987522,-111.6518229
Bulldogs,Flint,College,Men,43.0161693,-83.6900211
Marcus,Flower Mound,College,Men,33.0283854,-97.0867203
Marcus,Flower Mound,College,Women,33.0283854,-97.0867203
Grizzly,Forest Grove,College,Men,45.5197452,-123.1114405
Hell's Belles,Fort Collins,College,Women,40.5508527,-105.0668085
Hibida,Fort Collins,College,Men,40.5508527,-105.0668085
Hibida,Fort Collins,College,Men,40.5508527,-105.0668085
FGCU Eagles,Fort Myers,College,Men,26.640628,-81.8723084
Abduction,Fort Smith,College,Men,35.3872218,-94.4248983
High Noon,Fort Worth,College,Men,32.753177,-97.3327459
Wrath,Fort Worth,College,Women,32.753177,-97.3327459
Mother of George,Fredericksburg,College,Men,38.3031837,-77.4605399
Mary Massacre,Fredericksburg ,College,Women,38.3031837,-77.4605399
Terrifying Turtles,Fredonia,College,Men,41.2847478,-91.3387659
Turtlicious Turtles,Fredonia,College,Women,41.2847478,-91.3387659
Rabid,Fresno,College,Men,36.7394421,-119.7848307
The Commute,Fullerton,College,Men,33.8708215,-117.9294165
Diesel,Gainesville,College,Women,29.6519684,-82.3249846
Florida,Gainesville,College,Men,29.6519684,-82.3249846
Florida B,Gainesville,College,Men,29.6519684,-82.3249846
FUEL,Gainesville,College,Women,29.6519684,-82.3249846
Mary Todd,Galesburg,College,Women,40.9479779,-90.3705842
River Rats,Galesburg ,College,Men,40.9479779,-90.3705842
Stockton ,Galloway,College,Men,39.9139207,-83.1633336
Ransom,Gambier,College,Women,40.375643,-82.3970994
SERF,Gambier,College,Men,40.375643,-82.3970994
Snail B,Geneseo,College,Men,38.5161207,-98.1567235
Snail,Geneseo,College,Men,38.5161207,-98.1567235
Escargot 2017,Geneseo,College,Women,38.5161207,-98.1567235
Pan Fried Funk,Gettysburg,College,Men,39.8308973,-77.231012
Ruf Riders,Glassboro,College,Men,39.7027677,-75.1119434
RUF Riders,Glassboro,College,Women,39.7027677,-75.1119434
Ruf Riders B,Glassboro,College,Men,39.7027677,-75.1119434
Entropy,Golden,College,Men,39.755543,-105.221099
AYU Indoor Hat Tournaments,Golden,College,Mixed,39.755543,-105.221099
Black Out,Goleta,College,Men,34.4358295,-119.8276389
Black Tide,Goleta,College,Men,34.4358295,-119.8276389
Burning Skirts,Goleta,College,Women,34.4358295,-119.8276389
Olei,Goleta,College,Mixed,34.4358295,-119.8276389
Calvin Ultimate,Grand Rapids,College,Men,42.9632405,-85.6678639
Denison Frisbee Ultimate Club,Granville,College,Men,42.9855403,-95.8736256
Black Pearl,Greenville,College,Women,34.851354,-82.3984882
Irates,Greenville,College,Men,34.851354,-82.3984882
Grinneleanor Roosevelt,Grinnell,College,Women,39.12723,-100.629031
Grinnellephants,Grinnell,College,Men,39.12723,-100.629031
Sticky Tongue Frogs,Grinnell,College,Women,39.12723,-100.629031
Jabberwock,Hamilton,College,Men,31.6429346,-97.9715967
The Vibe,Hamilton,College,Women,31.6429346,-97.9715967
Discomfort Trolley,Hanover,College,Men,39.8063247,-76.9842735
Pain Train,Hanover,College,Men,39.8063247,-76.9842735
Princess Layout,Hanover,College,Women,39.8063247,-76.9842735
Bitchmonkeys,Harrisonburg,College,Women,38.4493315,-78.8688833
Hellfish,Harrisonburg,College,Men,38.4493315,-78.8688833
Smellfish,Harrisonburg,College,Men,38.4493315,-78.8688833
Hartford Biddies,Hartford,College,Women,41.7655582,-72.6906128
Southern Miss,Hattiesburg,College,Men,31.3271189,-89.2903392
Big Donkey Ultimate,Haverford,College,Men,40.0131672,-75.2943516
Sneetches,Haverford,College,Women,40.0131672,-75.2943516
Sneetches B,Haverford,College,Women,40.0131672,-75.2943516
Flying Dutchmen,Hempstead,College,Men,33.6949319,-93.6929825
Hofstra Ultimate,Hempstead,College,Mixed,33.6949319,-93.6929825
M45,Hempstead,College,Women,33.6949319,-93.6929825
High Point University Bagheera,High Point,College,Men,35.9556924,-80.0053176
Stevens Tech,Hoboken,College,Men,40.7433066,-74.0323752
Stevens Tech,Hoboken,College,Men,40.7433066,-74.0323752
DiscoTech,Houghton,College,Men,46.8591287,-88.7774734
Skyline,Houston,College,Men,29.7589382,-95.3676974
Cloud 9,Houston,College,Men,29.7589382,-95.3676974
Torque,Houston,College,Women,29.7589382,-95.3676974
Nightmares,Huntsville,College,Men,34.729847,-86.5859011
Deuce Ultimate,Huntsville,College,Men,34.729847,-86.5859011
Disc Pics,Huntsville,College,Mixed,34.729847,-86.5859011
Innuendo,Indiana,College,Men,40.3270127,-86.1746933
Jaguars,Indianapolis,College,Men,39.7683331,-86.1583502
IHUC,Iowa City,College,Men,41.6612561,-91.5299106
Saucy Nancy,Iowa City,College,Women,41.6612561,-91.5299106
Grass Ninjas,Irvine,College,Women,33.6856969,-117.8259819
Nightlife,Irvine,College,Men,33.6856969,-117.8259819
Vitality,Irving,College,Women,32.8295183,-96.9442177
Vortex,Irving,College,Men,32.8295183,-96.9442177
UDU Mixed,Irving,College,Mixed,32.8295183,-96.9442177
Buds,Ithaca,College,Men,42.4396039,-76.4968019
Cornell-B (Shake),Ithaca,College,Men,42.4396039,-76.4968019
Rosebuds,Ithaca,College,Mixed,42.4396039,-76.4968019
Thorny Roses,Ithaca,College,Women,42.4396039,-76.4968019
Wild Roses,Ithaca,College,Women,42.4396039,-76.4968019
Kweezy,Ithaca,College,Women,42.4396039,-76.4968019
Nawshus Ultimate,Ithaca,College,Men,42.4396039,-76.4968019
Union Jaxx,Jackson,College,Men,32.2990384,-90.1847691
Union Jillz,Jackson,College,Women,32.2990384,-90.1847691
Category 5,Jacksonville,College,Men,30.3321838,-81.655651
BUC,Johnson City,College,Men,36.3134398,-82.3534728
The Flood,Johnstown,College,Men,40.3267407,-78.9219698
Red Wolf Ultimate,Jonesboro,College,Men,35.8428646,-90.7034522
Ultimate Buzz,Kalamazoo,College,Men,42.291707,-85.5872286
Dark Horse,Kalamazoo,College,Men,42.291707,-85.5872286
Queen Beez Ultimate,Kalamazoo ,College,Women,42.291707,-85.5872286
Keene State,Keene,College,Men,42.933597,-72.2784264
Owls,Keene,College,Mixed,42.933597,-72.2784264
Parliament,Kennesaw,College,Men,34.0234337,-84.6154897
Strix,Kennesaw,College,Women,34.0234337,-84.6154897
Carthage Blitzkrieg,Kenosha,College,Men,42.5846773,-87.8212263
Kent State Damn Gravity,Kent,College,Men,33.1665316,-100.7846477
Gaels,Kingston,College,Women,41.9287812,-74.0023702
Queen's - Kingston,Kingston,College,Men,41.9287812,-74.0023702
Disky,KINGSTON,College,Women,41.9287812,-74.0023702
Disky Business,Kingston,College,Women,41.9287812,-74.0023702
RIUT,Kingston,College,Men,41.9287812,-74.0023702
RIUT B,Kingston,College,Men,41.9287812,-74.0023702
JujiTSU ,Kirksville,College,Men,40.1948848,-92.5833939
Truman State Mixed,Kirksville,College,Mixed,40.1948848,-92.5833939
TSUnami Women's Ultimate,Kirksville ,College,Women,40.1948848,-92.5833939
Agent Orange,Knoxville,College,Men,35.9603948,-83.9210261
Big Orange Screw,Knoxville,College,Women,35.9603948,-83.9210261
BadLUC,La Crosse,College,Men,29.897156,-91.203248
BadLUC B,La Crosse,College,Men,29.897156,-91.203248
Galaxy,La Crosse,College,Women,29.897156,-91.203248
Biddasweet,La Crosse,College,Women,29.897156,-91.203248
Air Squids LITE ,La Jolla,College,Men,30.540821,-91.078586
California-San Diego-B,La Jolla,College,Women,30.540821,-91.078586
Blue Moon,Lancaster,College,Women,40.03813,-76.3056686
Deep Blue,Lancaster,College,Men,40.03813,-76.3056686
Betty Ultimate,Lawrence,College,Women,38.9719384,-95.2359496
Betty Ultimate B,Lawrence,College,Women,38.9719384,-95.2359496
